Account,date,Daily_PnL,Gross_PnL,Total_Trades,Winning_Trades,PnL_Trades,Avg_Trade_Size_USD,Total_Volume_USD,Max_Trade_Size,Total_Fees,Long_Trades,Short_Trades,Win_Rate,Long_Short_Ratio,Leverage_Proxy,Sentiment,classification,FG_Value,Cum_PnL,Running_Max,Drawdown,Seg_Leverage,Seg_Frequency,Seg_Consistency
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,-167.796055,0.0,177,0,0,5089.718248587571,900880.13,59999.96,167.796055,0,177,,0.0,0.22578492233577294,Greed,Extreme Greed,76,-167.796055,-167.796055,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,-67.883615,0.0,68,0,0,7976.664411764705,542413.1799999999,65882.09,67.883615,0,68,,0.0,0.35385270200538305,Greed,Extreme Greed,90,-235.67967,-167.796055,-67.88361499999999,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,-94.93798300000002,0.0,40,0,0,23734.5,949380.0,665771.71,94.93798300000002,0,40,,0.0,1.0528858332512865,Greed,Extreme Greed,83,-330.617653,-167.796055,-162.82159800000002,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21260.823995,-21227.0,12,0,12,28186.666666666668,338240.0,78852.88,33.823995,12,0,0.0,10.0,1.2503883384907875,Greed,Extreme Greed,94,-21591.441648,-167.796055,-21423.645593,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1498.4775100000002,1603.1,27,12,12,17248.14814814815,465700.0,132297.77,104.62249,12,15,1.0,0.8,0.7651448665446754,Greed,Extreme Greed,79,-20092.964138,-167.796055,-19925.168083,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132402.679967,-132271.0,82,0,82,16058.536341463414,1316799.98,87610.64,131.679967,82,0,0.0,10.0,0.7123725132898427,Greed,Extreme Greed,77,-152495.644105,-167.796055,-152327.84805,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,-390.921553,0.0,23,0,0,48561.68565217392,1116918.77,382727.69,390.921553,0,23,,0.0,2.1542442799290558,Greed,Extreme Greed,84,-152886.565658,-167.796055,-152718.769603,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175732.230048,-175611.00005600002,33,0,33,36736.36242424243,1212299.96,814524.17,121.229992,33,0,0.0,10.0,1.629661276271661,Greed,Greed,72,-328618.795706,-167.796055,-328450.999651,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,70613.627658,71393.964098,465,23,112,11410.954021505377,5306093.62,225637.33,780.33644,112,353,0.20535714285714285,0.31728045325779036,0.5062011768996527,Greed,Extreme Greed,77,-258005.16804800002,-167.796055,-257837.371993,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40194.628505,40218.599998,51,28,28,9400.588039215687,479429.99,156962.3,23.971493,28,23,1.0,1.2173913043478262,0.4170193587697944,Greed,Extreme Greed,76,-217810.539543,-167.796055,-217642.74348799998,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76617.076504,76710.0,10,9,9,185847.0,1858470.0,931290.0,92.923496,9,1,1.0,9.0,8.24435625154319,Greed,Greed,60,-141193.463039,-167.796055,-141025.66698399998,Low Leverage,Frequent,Inconsistent
